,CO,O2,CO2,CO*,O*,*,time,k
112,0.0005697929394600406,-9.918743677059476e-09,0.0013538716418703704,0.17791082836868172,2.8349947919787764,26.987114379651583,4.491,
113,0.0005508475109517225,-9.929877095996913e-09,0.0012109286236389968,0.1603359833566188,2.82033950924595,27.019344507396834,4.591,
114,0.0007129211993540913,-9.928731546671608e-09,0.001144240512217326,0.15235571706395937,2.8086827189923302,27.03898156394311,4.691,
115,0.0009204402776311526,-9.934424951088712e-09,0.0011509438779500234,0.15383004438638356,2.799624637767988,27.046565317844667,4.791,
116,0.0011128699284534437,-9.943634293777854e-09,0.0012110860254216816,0.16228853235157864,2.792166094170946,27.045565373476148,4.891,
117,0.001207052349687128,-9.941198157088335e-09,0.001291666969933486,0.17342695992783672,2.7857176724258235,27.040875367645373,4.991,
118,0.0019483210133112157,0.0010797304635400038,0.0013305371570188566,0.1781439756155073,2.7914113803290124,27.03046464405446,5.005,
119,0.0023347735618632925,0.0013928494906685102,0.001334282593288933,0.1785979851950101,2.7919467581308335,27.029475256673145,5.006,
120,0.003104867707916813,0.002012176023076536,0.001339960583239467,0.17928726439487996,2.792738096158768,27.02799463944534,5.007,
121,0.004226565403957315,0.0029301730405624834,0.0013484601957812605,0.18031909268911464,2.7939092540355204,27.025791653274354,5.008,
122,0.00563085333816464,0.004101132027946586,0.0013604989996742556,0.1817788133059715,2.7955647626911295,27.02267642400189,5.009,
123,0.007240019906709416,0.005462766029060387,0.001376601296136898,0.183727263366674,2.7977825845739224,27.018510152058393,5.01,
124,0.00897972200361354,0.006955461233829141,0.0013971161338501214,0.18620283610749927,2.8006161878782767,27.013200976013213,5.011,
125,0.010784496368947223,0.00852642085934021,0.0014222346388642186,0.1892235900044824,2.8040967074104723,27.006699702584033,5.012,
126,0.012599938168643942,0.01013101764964123,0.0014520214175297466,0.19279117579334765,2.808236826585697,26.998991997619942,5.013,
127,0.014384766091017784,0.011734489104763112,0.0014864462876698304,0.19689487996315924,2.8130348654298287,26.990090254606,5.014,
128,0.016108777192806543,0.013308963480635098,0.0015254061821105532,0.20151456917536653,2.818477128550273,26.980028302273347,5.015,
129,0.017751069073296877,0.014836036622606673,0.001568755268635332,0.20662448299707808,2.824542881311185,26.968852635690723,5.016,
